id,error_count
540583,5
75893,96
172350,15
439087,12
696908,4
1195895,11
1058020,0
441822,10
1405150,0
1067422,0
739831,2
108731,6
674910,16
1339974,8
1056385,3
1090601,0
695350,20
254785,13
870856,2
1188264,6
1272817,8
1275054,14
1184438,9
1249291,19
1371801,3
915283,9
192045,5
895422,5
686215,1
1276547,3
1141934,10
1162463,0
737306,2
1344387,0
1308557,4
1189443,2
1109065,21
220384,3
1187872,18
1173278,4
485730,2
322569,1
1394468,1
483140,4
1350328,0
432324,12
1325341,0
448104,1
563157,7
1204994,3
112484,81
1246142,9
1125366,24
1058159,0
495009,14
1015597,3
398689,9
1314682,3
1183392,3
1247720,8
1190226,6
1325063,3
649581,2
655071,5
53506,21
1332265,9
380008,17
276823,24
1138668,9
593079,0
189581,1
1341121,1
1192275,7
1211007,12
534372,9
735945,0
1274650,6
329007,62
1344675,0
1295849,12
1199975,0
732630,2
853619,5
700595,3
1305408,25
1184905,3
1080074,0
1357551,1
1414715,75
372238,2
1316338,144
550588,1
820225,16
351792,2
1317730,10
209249,7
1381136,0
1176299,3
1339142,10
1079729,0
132140,1
821132,0
1259146,10
1354737,0
1367111,2
1297405,5
1183038,0
517901,5
1138440,9
1350323,0
1327902,19
1011471,6
1201032,6
1112434,25
1190080,9
1061723,1
865186,2
295073,2
83305,3
130313,7
1206865,1
10765,67
1195023,33
993057,2
1149197,1
582067,4
1142041,2
1015279,3
1181266,1
1233048,4
785399,1
1169547,10
549599,4
1251692,7
413864,7
1372814,2
1377126,0
658856,3
1284991,2
1229195,5
1023946,2
1191010,6
1355647,0
298648,36
1056979,0
324605,7
1284828,1
308354,7
327980,2
514524,3
803376,14
449289,3
322488,2
1148404,1
1128125,3
950613,8
1344788,2
297910,18
1101977,13
230105,104
1366257,3
1208887,5
922110,1
1274616,16
1241422,3
1153438,0
91506,219
283100,10
1213989,3
1406589,0
1290918,1
13110,23
449977,7
1200663,2
1235819,13
1404549,1
1064225,0
1112674,0
1272362,10
800630,0
107207,46
503307,8
1377356,0
1270715,5
1220384,8
1009375,14
134580,20
283195,20
1303811,17
114793,10
227203,11
1356351,5
1324594,1
728194,10
590523,6
1058419,0
1375844,0
1277918,11
436805,15
390564,4
1355509,1
1086502,5
100280,38
994524,3
374443,9
1228062,0
914635,3
1319180,28
1208445,1
1123471,14
1108217,1
1292105,7
405461,17
934595,5
558160,7
807077,4
1129658,0
1139084,13
228737,10
1232896,5
1136828,12
674130,6
946208,2
552533,7
708531,18
1398930,0
1167626,14
1254848,7
980474,3
376245,29
1112931,71
313492,1
1156047,4
811613,1
499965,6
1186548,23
66048,38
1161648,7
1184045,4
1299325,1
1214231,1
806847,10
1017286,3
313970,12
1063555,0
1398177,1
546014,4
682442,5
63792,8
626556,3
1210677,0
930721,2
1294170,2
1228824,12
503014,1
1099774,4
1079846,0
808993,1
1223082,4
502787,1
1288426,1
1231031,3
161026,5
25157,5
893209,2
1386317,1
1233643,14
1415334,0
563520,5
26834,7
1135716,6
1189139,3
112459,21
538315,4
1077788,0
978464,2
293700,6
1189695,5
1278991,7
668390,3
1231244,5
1283187,30
1274021,0
865420,5
1174947,1
980485,3
1329089,12
867359,1
899152,4
1222268,3
1138628,8
323732,18
458797,1
1275605,22
96400,24
1244654,4
1030880,3
850676,4
1346352,1
112352,7
1242800,0
1289190,3
1316646,4
895424,3
1382224,0
1329591,5
1137192,2
1077798,0
77467,10
538382,4
138374,3
1308782,14
637861,8
1079458,0
1280338,1
852210,5
1719,10
107897,11
1267470,13
818157,1
686992,7
1205758,16
1242333,1
810575,14
1407214,2
121646,10
1350310,1
534411,0
661185,15
1333984,0
1310868,2
1087275,5
1229724,3
1262416,4
1222389,3
161845,19
1123102,9
1276440,5
1358853,0
15859,3
472943,3
995661,30
8346,8
453388,2
1127634,24
759285,3
598923,2
1242116,7
962697,7
129320,56
1359733,2
991099,11
1250180,0
1076850,0
1243303,2
909277,4
599629,2
1309524,5
440382,1
1118320,3
1228214,2
139583,17
1190783,0
1146003,2
1228918,13
1020343,2
1211739,18
1191174,0
911789,8
829549,4
335125,6
1344585,5
1083644,2
468371,5
1355690,1
6675,13
87840,12
1191883,0
150492,12
641830,13
1155056,3
1147678,3
598251,0
1014933,3
149069,0
144904,3
967003,12
1067273,0
216343,1
1097771,5
1077831,0
521158,7
206309,4
1208943,2
966399,4
1258821,0
1377155,1
545547,1
673192,0
744159,4
1307208,4
1324766,13
1243506,0
1168566,7
799274,5
390355,27
114754,5
1286400,5
1216012,4
329134,12
1259902,0
1067710,0
1160844,1
1029045,1
1133324,18
1359282,0
1242261,0
1101063,9
94116,41
1190719,5
370410,13
423282,9
1019161,6
845164,3
301892,23
726175,6
411347,13
997445,17
1176461,3
1016330,2
1367344,5
58194,1
1100340,0
46913,25
1316249,10
1275898,0
1319783,1
1104832,10
345226,7
1172473,3
1340653,3
1088960,13
739633,2
1299753,16
1081108,0
216000,3
1224369,2
1412075,0
1046744,1
988591,2
857146,2
680453,3
1085174,5
1182619,1
168839,7
61866,9
639501,2
889813,7
1218531,1
1054489,2
338436,257
1206444,0
247109,22
321863,30
1270687,13
816353,1
219070,5
1365185,2
121068,23
1170750,5
1377996,1
1054043,2
461817,3
1315918,2
233959,48
706517,5
1400924,9
1283247,5
1148883,8
921020,17
656758,35
1003944,3
1214811,11
1237113,2
1405262,1
120479,18
1174599,5
322242,38
802701,4
1360987,0
1418142,0
265939,58
1381581,0
1297019,6
416258,6
382676,22
135967,2
1306072,2
138851,22
1252102,1
1051596,7
717244,9
527105,15
196617,7
1201859,17
165837,1
1279397,3
492119,2
1284600,17
616380,1
404822,2
358752,13
179244,10
92097,23
1192746,46
921943,4
1256392,12
1235070,0
230752,11
633771,2
922332,0
1135338,5
1197977,4
1151168,1
1248225,5
1183103,7
179537,1
1380196,1
1187661,3
1211493,29
618805,10
1257105,77
1376240,0
1092295,1
262941,7
1050421,0
1065406,1
365023,2
1226946,7
1380097,2
1201358,3
466205,4
1322109,2
352661,10
1335042,5
497924,1
1247151,2
200248,9
135613,4
953282,1
206015,6
1338875,8
1249083,0
1330056,4
1181387,10
920870,2
1293991,63
694211,5
1177452,6
130756,28
1310084,10
828938,1
1333312,1
1150626,4
1064669,0
207591,2
221761,26
256555,2
1148973,6
1182081,18
668670,1
1224399,8
722771,3
406527,24
93655,299
1079682,0
1387187,0
1093825,18
1277215,7
1396538,0
1248548,0
1254385,5
1117851,2
1415106,0
1376978,1
554630,2
1101448,11
1179975,8
1195260,16
216613,1
1041168,1
387412,0
215138,4
579067,5
234785,4
1201898,17
1212361,8
739627,12
640596,7
971246,3
1060461,0
1311240,0
293650,22
1249048,3
330981,36
1416238,0
1218969,1
294631,2
156600,8
1315963,29
1355654,2
1152221,6
1204318,6
1309199,29
1130170,0
736920,25
738857,4
974203,3
255267,6
1387182,0
1343091,0
4295,93
1321146,13
1080496,0
1315789,0
20864,65
791751,7
353913,6
748194,7
103906,39
1090022,9
1185656,7
505470,1
1151736,6
1184037,3
1347493,0
106603,94
167101,15
1269499,0
582013,3
1323178,0
1154028,2
705296,16
1149935,5
700614,3
387157,0
1164639,7
1251490,9
1171766,1
1070922,0
249342,2
617884,4
1107077,33
447504,0
331584,0
1003965,17
177883,12
1120533,3
241482,7
623495,3
1197376,36
44695,223
1215652,12
184126,2
761945,7
887471,0
1255195,20
806572,29
1187588,16
1329855,17
16658,58
1230389,9
1094166,3
534188,0
1268919,5
636083,20
1381088,1
503324,1
983705,3
880126,2
736114,5
86549,3
639803,0
485631,3
1026891,9
1095773,7
969671,11
641430,3
1176289,2
684747,2
1043716,6
1055890,1
748278,0
1195278,2
52736,38
1225011,6
200550,9
152339,0
1378418,0
153291,1
292256,22
1156829,5
1100206,4
1088921,18
374757,10
1288569,0
1353447,0
739518,5
932743,3
177699,12
286529,5
1318079,23
1329809,24
801583,2
1180410,2
155911,13
1230104,11
592564,4
1090796,20
1215614,9
132282,6
1212341,4
1210993,18
1203117,9
455443,24
1227980,5
1104997,13
1249847,6
1196743,4
1198536,3
1100923,0
77901,18
635026,7
1049598,0
425089,48
326930,0
586586,5
1055882,0
1273587,0
1212173,0
1115977,3
1218744,37
630938,9
1215822,10
113459,63
254531,16
493604,14
1048212,0
125494,8
1240824,1
371792,7
1329216,8
1320609,12
195186,6
107577,15
884862,10
240673,7
849962,7
1380718,0
287712,31
1266930,4
1308591,0
1206887,7
1067951,0
1098474,1
1279949,43
1199729,1
1187346,12
1384522,0
105798,55
317255,3
1216001,16
1367028,0
803644,3
1267977,1
975700,2
1298132,0
915495,3
1050203,0
197560,27
630276,1
353189,20
712039,14
1406877,0
171960,6
5105,17
382601,4
846500,5
1360234,0
1278297,6
1370594,2
666006,9
756467,2
265427,4
1243695,1
808804,2
940611,5
1127385,0
125703,2
1178846,3
184858,19
598012,1
1119932,4
564585,5
1360680,1
1118042,6
527741,36
460750,2
123785,51
1316634,3
1146134,9
1365474,29
273850,6
552875,2
1377162,1
1216987,3
1314092,8
1371216,1
1266173,3
213922,4
36371,29
1347177,6
364562,20
461068,15
286981,22
1125692,0
1130174,4
275556,53
1267453,3
1070357,0
379120,1
1203932,5
316148,8
1286333,2
1214114,0
101816,25
900203,5
1150361,1
1279742,3
1302369,10
490616,4
1128766,4
924050,0
293610,4
1325247,27
495407,3
48170,9
927515,10
725885,3
63641,4
1167457,0
914927,1
1099670,4
637137,8
499805,9
1106003,6
779341,4
1292780,9
1407437,3
765936,3
1197703,2
819239,5
500164,1
256321,1
1216990,6
884073,3
842256,0
1052765,0
665589,2
1253506,17
756697,5
1415985,0
201959,1
417772,3
1108146,15
873510,3
833871,2
734654,14
235892,9
1221906,4
511935,13
1234265,5
1372677,1
349089,12
110509,12
1042877,2
1407225,7
1333193,9
1235296,2
1412060,0
1081780,2
1278205,1
230174,0
883716,3
1208100,6
1072152,0
553666,3
1082511,12
1143685,6
1294126,8
790912,1
1133969,5
1086383,1
986337,4
1404888,0
92273,39
389674,8
1082323,1
1243599,55
1170684,5
1276040,0
1302392,2
1328094,16
459228,4
1083021,2
832482,4
1117092,17
1353251,0
1304106,1
967198,2
291021,11
1225427,5
810717,1
766962,1
1232693,6
209729,3
1065028,0
357818,19
1352209,0
23912,15
689736,11
843858,4
1263849,2
1361271,0
879542,1
674236,6
520842,3
1220186,2
38911,2
904742,4
1169570,13
859158,3
1173628,1
1227591,3
699131,4
127702,41
312898,29
1203015,6
1098691,0
498246,9
658521,7
332386,13
1414586,0
685082,10
1360200,1
804924,8
1371490,0
1284083,4
1229007,6
467301,8
549500,5
890810,12
1236665,1
1287132,0
214309,2
1206142,1
1372091,2
210471,8
1226125,31
1126457,0
1323699,4
1375284,1
1071888,0
1347920,1
720419,4
1051696,1
617281,8
1169947,5
602567,4
1150614,2
472730,1
585943,3
278249,0
1066893,0
1149916,1
68885,13
267305,2
801499,3
737348,2
1160725,13
404080,10
1101853,1
1381023,5
1277738,1
1168019,3
402476,12
1264272,6
1177737,0
1050751,0
369818,60
177021,4
1272419,3
1407842,5
1245235,1
1080349,1
223350,9
241902,14
1133783,0
1122573,6
504164,6
1363297,0
840915,6
576333,0
645769,4
1066156,0
1050005,0
1208505,29
1131215,11
463959,6
1234686,3
720043,6
1409513,5
1245602,7
235480,8
1165858,3
130154,20
1128714,12
832278,1
1250682,6
277828,4
360696,25
1183432,1
1096252,15
291268,10
104414,130
291262,33
815303,2
536520,3
1033097,9
491551,0
215271,2
242779,22
944636,9
1310590,1
1159370,9
1197202,3
1192007,11
555564,12
1033089,2
454447,1
1170488,6
1238315,8
733128,6
45799,14
772277,6
1034544,8
284370,6
462762,2
1341240,7
1398467,0
554226,2
1133966,6
1177867,3
205626,2
399564,12
156793,6
1397985,1
692121,4
515667,10
179777,5
1131335,4
1080971,0
1192306,0
1121560,2
1117205,1
255355,2
1381159,0
1227491,2
1409644,5
147066,30
1374160,0
1075565,0
604329,4
1217296,7
745112,8
613795,8
1197350,1
843972,10
571670,1
1206777,4
1111119,9
1145449,8
24089,5
450181,3
738953,4
330623,17
1361426,1
930031,7
1228215,29
1043589,7
1055280,2
1068578,0
488558,7
682353,1
1001806,6
1350118,0
935545,19
1227961,9
1171300,6
208127,55
1081729,14
497630,3
1136658,9
1110746,3
581868,11
1059258,0
1161961,0
973640,5
984476,4
1018582,14
670425,1
1179394,6
492450,25
460483,3
833544,5
369548,2
1764,12
56676,299
1021989,9
1107351,3
712215,10
1268020,9
169838,18
314862,1
1082095,9
422030,8
196585,4
1357711,0
1197620,3
1077810,1
1082965,1
1286837,5
86014,26
1218011,0
1121277,1
1276102,6
1177373,7
1385051,2
1105606,7
1209596,14
833095,1
1124862,4
1367734,1
837452,3
428083,1
859869,3
861143,4
1156267,0
1275970,3
1148514,0
551947,3
631791,11
113959,147
494834,1
1120390,5
627415,3
1195607,12
831837,5
1121626,2
1252217,0
1385428,0
1322829,12
904454,3
321943,5
1376149,4
1329420,1
1094562,17
1361286,0
730082,5
1099409,4
494064,2
1189881,2
1305928,6
1359760,0
1167813,0
1349560,10
856563,6
1401221,0
1081379,7
11468,332
292727,3
1104030,5
156893,11
1285853,0
68842,20
1396928,1
372525,14
1173002,10
1130372,3
633784,2
723341,14
870795,3
1011282,3
1281246,1
1221369,7
886441,3
1150848,0
1137156,3
1411431,1
150639,6
249280,40
511799,3
1351876,25
1031427,5
1418364,0
1315974,5
1153496,8
617976,2
715847,1
726381,6
1209188,3
69691,30
1140737,17
458862,6
515470,1
1400599,3
1255618,9
533866,3
950803,2
1088553,11
1241566,4
1272060,0
1356161,59
413701,3
1381933,2
704007,2
1092325,6
1234821,0
1344483,2
701338,7
182416,3
676705,2
1238530,6
1153720,1
629662,22
100764,46
1308973,32
1053088,0
1310858,1
81844,13
1023640,1
1281644,0
297918,5
1254343,45
39858,13
1114353,0
1310138,0
1133726,0
1249846,4
1294469,4
118764,67
196551,5
587940,7
1166682,5
156287,3
1263877,9
520156,2
1093612,3
1387652,0
950735,4
575047,2
1117048,2
1126249,4
1164418,4
25811,4
1358541,0
672942,0
1379453,0
196804,27
345835,0
1410389,0
1181658,7
155660,21
1118794,8
1150844,2
1021272,5
1217149,11
1019756,5
1050895,0
1361628,0
718981,2
1378300,0
779133,3
795090,7
1402188,1
1228571,1
1183323,1
1200104,3
521189,2
20383,42
28510,1
1253420,15
230067,16
1258127,3
1069430,0
1162986,14
1103228,0
1367505,1
1373456,0
778402,0
1241001,21
1185949,10
112029,19
1080528,0
918121,1
257870,8
1231833,4
236775,2
63536,23
1101682,0
1169129,0
1025951,6
34924,6
845212,6
1336096,1
1256270,3
194625,8
486073,4
1285660,39
550332,22
930952,2
1390779,0
1072985,0
196141,11
645983,4
236040,17
1140439,7
1116314,10
502634,15
1251051,4
936431,3
1169954,2
1255307,22
1302631,3
646587,5
75570,15
342908,23
587835,9
692878,5
139529,2
1022728,5
416026,14
1283955,13
1050775,1
1168243,2
694390,8
99280,9
1410554,4
754844,0
440050,1
879717,7
343442,53
264378,3
1177925,3
119697,17
888885,5
724917,3
1363711,4
1193337,4
1169514,2
804569,3
851723,4
1054856,0
1242295,9
1229494,3
1197877,7
1104324,9
626143,4
1133317,5
1177691,5
868564,3
1247451,4
962425,0
1141440,5
668824,2
41430,126
318690,9
1138154,9
1138062,2
292869,4
1060642,1
1316569,6
1189543,8
749552,6
902338,1
850610,3
1246565,7
1187903,7
1103907,1
215050,12
232459,0
1308351,4
1239569,3
899971,12
1306983,5
1312012,9
1170808,29
1324249,7
1168573,4
368632,54
1100955,4
1128241,12
1107202,12
291795,18
1375697,0
179259,6
1048850,0
1372472,0
1003100,7
1238765,8
582250,9
814288,3
991967,21
1256189,6
1243270,7
432798,44
229910,2
1228864,0
584460,23
1108439,0
506551,28
137187,5
1396218,0
472972,6
1309492,23
1136087,2
1064777,0
906348,6
1387189,1
321951,18
1133609,3
650309,1
1113985,1
1065843,0
719280,8
1365293,0
1301179,1
1063739,0
1163363,7
796684,1
720532,17
1120162,1
1061529,8
752323,3
1109772,15
174271,14
1197613,4
1222645,4
1218076,2
98516,59
121351,18
1311415,0
1269793,4
233541,4
475829,4
1367497,0
1180578,5
227221,5
160630,4
1216828,3
380867,11
1289495,8
1088538,5
1007044,4
486964,7
1250803,4
574122,16
914480,8
748934,1
1409412,2
1211136,1
529191,7
1088937,6
1213332,1
1396846,0
537794,1
589107,10
453407,3
1198343,8
147710,5
1288981,2
485013,0
861831,5
211985,5
1111346,0
1066062,1
1217233,6
326838,2
34668,12
1188825,11
739105,3
1039600,14
319569,3
1265352,2
707384,0
1177978,5
574258,3
1244991,1
1266241,3
874890,4
1103009,2
416810,6
290536,4
1352138,0
904563,3
844698,10
1071363,0
621697,4
1386618,0
383693,9
1280594,13
158441,20
319894,16
912677,3
496166,3
1074520,0
39040,9
437041,4
1374614,0
96852,46
752060,1
452431,4
1405445,0
1216592,6
1138406,2
822033,2
1185728,2
179552,4
665722,3
1400460,2
1239828,0
1294506,5
1051455,0
562291,1
1272847,10
1281972,12
213062,8
1354926,1
388904,23
584873,4
1360691,0
1267947,0
1075396,0
1110140,43
1198674,2
183308,10
291310,5
1184864,1
544499,13
1410129,5
904945,2
986908,5
1219898,7
977384,14
805844,2
874866,18
1303927,25
1335853,1
92032,53
435646,6
427399,3
1144039,3
1096428,5
1367634,0
1186331,10
1282851,7
1212497,14
655545,1
1049793,0
829162,7
1218672,66
1386408,0
1137335,9
879669,3
1242758,1
585929,3
1269006,1
9486,14
1030722,1
1226308,26
827356,16
695813,4
1155382,5
544808,1
171634,23
721509,11
1136251,28
362794,13
1122676,2
1042056,0
1354201,67
1153915,3
1167666,1
1182087,1
484508,1
1265632,9
372552,15
1319160,0
486328,5
1326889,0
896902,2
1252306,1
1137292,1
20618,42
1232461,2
404763,28
170597,12
1133209,8
1334750,3
798375,17
1171424,1
984393,1
1372624,0
617454,2
1306287,32
1214773,5
1300640,8
1132066,7
803297,1
1308801,0
164240,37
725250,1
801024,6
1207427,0
346145,3
1145806,7
1350274,1
1317469,15
1417501,3
347131,29
1274797,2
1238979,6
109689,2
782305,4
676467,6
1210962,3
497158,10
62401,40
138722,4
1206917,2
877382,4
1110299,3
977654,2
60311,11
820464,4
1295796,11
185051,2
834219,5
467127,3
300245,16
371216,14
1131131,7
365833,4
1081573,1
1078904,0
469295,4
1027821,1
1300571,0
1270104,6
1168167,12
149451,5
196266,6
8579,7
1199204,3
1030496,4
522461,1
1394540,0
848369,0
107186,12
1218851,2
873819,6
1288847,21
492386,12
49436,7
1372678,0
281515,8
1254671,9
281803,12
1403603,0
140423,2
1155622,1
1359437,0
981432,4
1327460,6
1152906,11
747727,2
777849,4
1299172,2
1352236,14
813957,1
730729,5
1142977,3
927481,10
1293371,12
843988,5
1198820,3
1293969,10
1086643,6
1318014,7
1205223,9
79113,36
1200982,2
1286755,4
1256074,1
780126,0
56364,108
1221120,28
1398869,0
1391562,0
271230,5
1287975,4
582025,1
1128812,3
1197013,24
513045,1
1090936,5
608332,8
753289,6
909878,6
188458,12
456577,2
1316987,6
172345,12
522171,2
812482,6
1315910,0
1326973,6
371618,4
907856,7
1353548,1
1070871,0
90586,130
692176,3
1193035,2
390179,13
1300256,1
1122074,6
1230951,14
1078990,0
1382944,0
1080966,3
98214,36
822067,6
1337132,1
1148202,6
572014,3
682058,2
809372,0
1291512,5
878565,3
1353808,0
483668,4
180424,14
573200,4
379652,0
1258009,2
3820,0
1198481,50
1023794,1
487591,4
485817,2
1344298,1
1291611,1
1399077,1
945314,4
1403785,0
1410898,4
980345,8
103415,16
1302775,3
1268092,1
105475,91
1133728,4
1089415,9
1300706,0
159188,14
420948,19
49192,18
751723,3
668485,2
815565,9
1209507,14
780031,2
95358,12
1303879,5
1059002,0
630042,4
599106,13
53807,10
1053219,2
1316254,35
1242808,4
1254399,3
587972,1
1346041,1
587273,12
1056897,0
552803,4
1127414,2
1385598,1
1373201,0
882357,26
88192,1
1163492,2
283554,18
1258285,9
798190,6
983492,3
1371288,0
882397,4
1173983,6
1052636,0
420371,1
1398470,0
1364738,0
316745,4
1315563,4
732732,1
104345,14
905375,10
1281855,2
1188797,5
1232791,8
649042,4
903373,4
581093,11
1103510,0
1179555,3
1268376,1
708469,0
1325517,6
935882,5
384960,12
798348,1
1055792,0
1295642,6
409977,140
1245583,2
280562,16
1348831,2
119013,6
1379377,2
900842,7
1351397,0
42021,5
1115497,2
1087165,5
1116801,0
39495,7
624934,10
775260,13
5607,5
236998,2
1135800,6
508360,6
1258441,3
1214921,1
1048447,0
1360588,0
628546,9
155191,18
1189216,6
1149630,6
705467,14
1079335,0
163775,1
125312,79
1183093,0
1228055,1
1316524,3
1337306,65
1091494,6
1322049,4
1252764,5
1288748,7
1393844,0
123917,18
1093989,28
1263975,3
1098194,74
1192921,3
1257043,3
584701,3
98433,53
488566,4
1278716,9
1231999,4
178618,18
332779,6
1163964,19
1206062,2
1220005,7
1188284,10
1329990,10
724283,6
1218241,16
1052753,1
1082016,1
179238,12
1233988,9
1401776,0
1119514,11
170833,30
200149,6
687480,3
1393986,1
1112543,65
1163345,0
540726,6
937218,3
1019898,9
1294490,0
75718,3
1064846,0
328137,57
1144270,20
1062385,0
1350313,0
488086,2
1308968,7
1355034,0
1165775,0
1060361,1
1114019,2
1061307,0
1327005,11
664903,14
341169,238
38269,6
1171684,31
1316492,3
1408955,3
881251,4
1155438,0
83106,1039
903636,2
894471,12
1277269,1
972050,3
1154637,1
644078,5
1296124,11
11948,39
970299,4
1263078,3
456112,2
322711,0
1153396,7
1234125,7
13618,11
1353882,0
678322,2
737010,7
1121376,0
1279349,6
315569,19
881996,1
1186367,3
71327,69
1233656,14
1119573,5
880327,4
228263,3
1275401,6
1344074,1
1375589,1
1386887,0
109439,21
1332243,3
1269525,33
1169198,36
871720,1
1004422,5
1089256,3
1358026,3
1228112,12
440431,1
